traj,ranked_stateID,old_stateID,OR,noReg_noCut,yesReg_noCut,noReg_yesCut,yesReg_yesCut,total,lastOR,lastPvalue
0,0,2,3.867160352666887,10657,10197,33,141,21028,4.46547558551089,3.630564343734241e-18
0,1,0,2.314962068734892,11291,8659,97,177,20224,2.3793931110351783,3.2272797636738543e-12
0,2,3,1.5121333631185077,10907,8953,200,249,20309,1.5167223277113817,1.5094853660358456e-05
0,3,1,1.3413361522444096,13597,7203,431,335,21566,1.4672266936984557,3.3052808499416084e-07
1,0,1,10.027568358276131,9447,8891,16,156,18510,10.359717692048138,9.055777010389567e-32
1,1,2,1.7672708107633297,11948,10083,119,202,22352,2.0114528405828263,1.1266958329992222e-09
1,2,0,1.3043629314118554,11816,8115,284,260,20475,1.3330209228259267,0.0010588250751923764
1,3,3,1.290442927624656,13241,7923,342,284,21790,1.3877887533002222,6.819151034833569e-05
2,0,2,9.316065192083817,9934,9469,16,165,19584,10.81892227267927,6.163585580353533e-34
2,1,1,1.8522744370329505,11449,8816,127,187,20579,1.9122024022178716,1.554210558258055e-08
2,2,3,1.4620531082952006,12650,8555,248,265,21718,1.5800277144096078,3.984523089665371e-07
2,3,0,1.146869901614606,12419,8172,370,285,21246,1.1705808231138628,0.0516171944777585
3,0,0,9.018020444390034,9127,9617,17,167,18928,9.323006440800299,1.995858948504081e-30
3,1,3,1.6513317075044167,12776,8902,188,244,22110,1.862684455322017,2.0081409494191336e-10
3,2,1,1.6335575781559162,11025,9425,133,186,20769,1.635906742984783,1.5812585776215525e-05
3,3,2,1.260926817068284,13524,7068,423,305,21320,1.3796473567813379,3.072374655955853e-05
4,0,0,5.430789878600139,9676,9525,31,166,19398,5.439729066124799,5.638588749105837e-24
4,1,3,1.9565756142703645,11344,8976,114,184,20618,2.039841135816368,2.1160277878563247e-09
4,2,1,1.553864970075017,12244,8880,174,219,21517,1.7354224914569742,7.152763901410837e-08
4,3,2,1.1864023767226433,13188,7631,442,333,21594,1.3020253775532167,0.00041592617137966063
5,0,2,3.1745343926596585,10354,9410,56,166,19986,3.261659328981327,3.145094728400345e-16
5,1,0,2.6525639930178344,9744,9642,68,179,19633,2.6601998609026687,7.777131261545663e-13
5,2,3,1.355388505105404,12109,8315,287,277,20988,1.4055422277442429,7.581752971163794e-05
5,3,1,1.2619216148905494,14245,7645,350,280,22520,1.4906474820143885,1.3139927450214467e-06
6,0,1,7.809469382100305,9319,9630,18,150,19117,8.064209068881967,3.177083358262477e-26
6,1,2,1.8544616227301123,12317,9111,132,205,21765,2.099514240195834,2.5282420501527008e-11
6,2,0,1.3548937728937729,11720,8406,260,253,20639,1.356704917732755,0.0006726246477801287
6,3,3,1.2685556620942022,13096,7865,351,294,21606,1.3946979205720464,4.313137279391007e-05
7,0,1,4.072273879966188,9934,9637,42,171,19784,4.196904786611126,1.8922628155608938e-20
7,1,3,2.2028005734625267,12305,9378,104,198,21985,2.4980621585707956,1.1772845613477654e-14
7,2,2,1.2619174435074287,11799,8136,332,295,20562,1.2886001972491736,0.0019674065532480347
7,3,0,1.2275577004191898,12414,7861,283,238,20796,1.328080702560343,0.0016694580285019417
8,0,0,6.849146664853471,9134,10511,21,171,19837,7.076097149924569,4.849652914769321e-26
8,1,1,2.0499555222622776,11902,8241,156,225,20524,2.0830416398308644,1.7672712755305874e-12
8,2,3,1.4803596421005625,10952,9072,162,199,20385,1.4829566485945087,0.0002266044539169432
8,3,2,1.2190067815272285,14464,7188,422,307,22381,1.4638826691141371,8.661165613792172e-07
9,0,1,3.4277880925072823,9985,9290,51,163,19489,3.4351822537411087,1.3987579345667113e-16
9,1,3,2.4238870724346087,11280,9116,84,172,20652,2.533692722371968,6.606231774808306e-13
9,2,0,1.322189273913412,12306,7978,296,280,20860,1.4591139146165468,9.952237751489195e-06
9,3,2,1.1708041755063696,12881,8628,330,287,22126,1.2983966929377222,0.0015446885146077473
