OR,OR_lb,OR_ub,pvalue,tag,buff,spa,LiPMScov,clientN_essentialN,clientY_essentialN,clientN_essentialY,clientY_essentialY,total_res,n,label
1.7367511520737329,1.079618042405191,2.8736860670193995,0.0253365221273369,AF_Knockout,C,0,50,135,168,31,67,401,401,AF
1.7367511520737329,1.0778444627023056,2.9076800825464835,0.0253365221273369,AF_Knockout,C,10,50,135,168,31,67,401,401,AF
1.7367511520737329,1.0902248267728143,2.888895966029724,0.0253365221273369,AF_Knockout,C,20,50,135,168,31,67,401,401,AF
1.7367511520737329,1.08904888924796,2.883808041656877,0.0253365221273369,AF_Knockout,C,30,50,135,168,31,67,401,401,AF
1.7367511520737329,1.0839043337467271,2.9060606060606062,0.0253365221273369,AF_Knockout,C,40,50,135,168,31,67,401,401,AF
1.7238863287250383,1.0745885106319486,2.8719876597982186,0.0332251979360179,AF_Knockout,C,50,50,134,168,31,67,400,400,AF
1.6665371162067626,1.0425855572355238,2.804627133188668,0.0434304259264207,AF_Knockout,C,60,50,128,166,31,67,392,392,AF
1.6258064516129032,0.9851948359989158,2.89468984962406,0.0755826986292874,AF_Knockout,C,70,50,104,155,26,63,348,348,AF
1.644702842377261,0.9253532825913182,3.2128432630587804,0.1105622085699453,AF_Knockout,C,80,50,67,129,18,57,271,271,AF
1.7230769230769232,0.7816791373239437,4.454610389610388,0.2355862055224368,AF_Knockout,C,90,50,28,65,10,40,143,143,AF
1.623762376237624,0.948596795033711,2.858278419111752,0.1035871160072042,EXP_Knockout,C,0,50,82,101,27,54,264,264,EXP
1.623762376237624,0.934110944342175,2.8666666666666667,0.1035871160072042,EXP_Knockout,C,10,50,82,101,27,54,264,264,EXP
1.623762376237624,0.9455714928282272,2.9075234805925327,0.1035871160072042,EXP_Knockout,C,20,50,82,101,27,54,264,264,EXP
1.623762376237624,0.9556407832201316,2.8834066739012445,0.1035871160072042,EXP_Knockout,C,30,50,82,101,27,54,264,264,EXP
1.623762376237624,0.9538590147890388,2.928589466089466,0.1035871160072042,EXP_Knockout,C,40,50,82,101,27,54,264,264,EXP
1.623762376237624,0.944210142566136,2.898887765419616,0.1035871160072042,EXP_Knockout,C,50,50,82,101,27,54,264,264,EXP
1.6656511805026657,0.972972972972973,2.9701278685148704,0.076869019425543,EXP_Knockout,C,60,50,81,101,26,54,262,262,EXP
1.6985645933014355,0.9506535612535612,3.1777873563218386,0.0839758653925762,EXP_Knockout,C,70,50,71,95,22,50,238,238,EXP
1.746031746031746,0.8888514891880864,3.84775641025641,0.1292888351361164,EXP_Knockout,C,80,50,44,81,14,45,184,184,EXP
1.5802469135802468,0.6666666666666666,4.561297810421281,0.3759727176655406,EXP_Knockout,C,90,50,20,45,9,32,106,106,EXP
