var,coef,std err,z,P>|z|,[0.025,0.975],essential,OR
Intercept,-3.5337,0.102,-34.569,7.387800948909809e-262,0.02389705618038117,0.03568588666047689,True,0.0291966880233135
AA[T.C],0.2935,0.244,1.202,0.22936352808821825,0.8311042838521256,2.164090108706121,True,1.3411131794101754
AA[T.D],-1.1054,0.206,-5.368,7.961455365140458e-08,0.2211309984291541,0.4955931256926515,True,0.33107842438242224
AA[T.E],-0.8572,0.175,-4.896,9.780706562820424e-07,0.3011942119122021,0.5980983940627613,True,0.4243485964928946
AA[T.F],0.1008,0.166,0.609,0.5425244388979811,0.7993151343693651,1.5295904196633787,True,1.1060554085591288
AA[T.G],-0.6339,0.156,-4.074,4.621248128705121e-05,0.39101865857291823,0.7196430167470754,True,0.5305187380832779
AA[T.H],-0.3899,0.237,-1.646,0.09976375901470234,0.4257086869858502,1.0768068054962199,True,0.6771245835710117
AA[T.I],-1.8586,0.282,-6.598,4.167412680835044e-11,0.08972552417035722,0.27063073195919607,True,0.15589072468090948
AA[T.K],-1.3507,0.236,-5.729,1.0102439484353372e-08,0.16316391010001996,0.41106661390143395,True,0.25905885596248596
AA[T.L],-0.2538,0.134,-1.892,0.05849098080513913,0.596306787633921,1.0090406217738679,True,0.7758469559217557
AA[T.M],-0.5537,0.232,-2.387,0.01698649127687037,0.36494814645449375,0.9057427080235485,True,0.5748190404373266
AA[T.N],-0.5048,0.198,-2.545,0.010927773824633526,0.4090164106114069,0.8904752232974725,True,0.6036262886130421
AA[T.P],-1.4819,0.292,-5.083,3.7151970163113215e-07,0.12834927760523412,0.40212190100464373,True,0.22720558740180677
AA[T.Q],-0.8998,0.236,-3.81,0.00013896679175973004,0.25589194844208374,0.6459714314106245,True,0.4066509818044825
AA[T.R],-1.7413,0.273,-6.376,1.8177292465394357e-10,0.10259152007523863,0.2993924573097967,True,0.17529237234668443
AA[T.S],-0.3061,0.169,-1.816,0.06937037213063464,0.5294058177086945,1.0242903178906215,True,0.7363129844759649
AA[T.T],-0.6719,0.185,-3.629,0.00028452124079346696,0.35522638092495157,0.7341807700262635,True,0.5107372545380405
AA[T.V],-1.163,0.187,-6.228,4.724270682289667e-10,0.21675231128725503,0.4506789750134095,True,0.312547131618141
AA[T.W],-1.3953,0.586,-2.381,0.017265711952350476,0.07855156428230954,0.7811406935313764,True,0.24775869760769006
AA[T.Y],0.0306,0.186,0.164,0.869731143810994,0.7153380863525599,1.4858693175513897,True,1.031072992192807
region,0.3746,0.09,4.146,3.383338248963419e-05,1.2189623938216427,1.7367229927213257,True,1.454409534436149
CD,-0.7851,0.151,-5.193,2.069321846060687e-07,0.33925609986047195,0.6132393269939275,True,0.45607409209598315
CG,-0.6268,0.127,-4.925,8.436035423885722e-07,0.41644536602038007,0.68591607389602,True,0.5342988245511302
region:CD,-0.2595,0.22,-1.181,0.23760272330406496,0.5015760690660556,1.1864907490217118,True,0.7714372079939819
region:CG,-0.346,0.184,-1.876,0.06065527989546193,0.4931213446662958,1.015113064615719,True,0.7075124871065017
Intercept,-3.6888,0.072,-50.982,0.0,0.021687916865409173,0.02881094296343847,False,0.02500198643176245
AA[T.C],0.3253,0.183,1.779,0.07523976196160631,0.967538559589032,1.9817890552569948,False,1.3844459174621533
AA[T.D],-0.5081,0.118,-4.298,1.7234616335044563e-05,0.47711391552103444,0.7588129307612415,False,0.6016376049933218
AA[T.E],-0.5919,0.116,-5.095,3.4874125565126583e-07,0.4404316545059993,0.6948911947429106,False,0.5532750628208729
AA[T.F],0.3688,0.105,3.506,0.00045489521991948223,1.177036689688467,1.7771305269140383,False,1.4459983750778287
AA[T.G],-0.2775,0.1,-2.787,0.005319847899630833,0.6231300711776578,0.9212719586963486,False,0.7576755646029744
AA[T.H],-0.6207,0.188,-3.295,0.0009842167982785312,0.3715766910220457,0.7780223715589573,False,0.5375680082539983
AA[T.I],-1.114,0.148,-7.542,4.6281774933471095e-14,0.24585828162726484,0.43867344664796787,False,0.32824335819079375
AA[T.K],-1.1836,0.16,-7.38,1.5828953244886355e-13,0.22357686702670268,0.419370710342504,False,0.30617452392114275
AA[T.L],-0.0679,0.091,-0.75,0.4532547047537364,0.7827045382418681,1.1162780704588713,False,0.9343539042960294
AA[T.M],-0.546,0.171,-3.197,0.001388649265414744,0.41436833609224244,0.8097740668812763,False,0.579262231380782
AA[T.N],-0.3085,0.129,-2.399,0.01643991469219966,0.5706381402943203,0.9455391358903963,False,0.7345479521991702
AA[T.P],-1.7339,0.227,-7.63,2.3475371207343126e-14,0.11315462871070062,0.27582187556470933,False,0.17659434726791834
AA[T.Q],-0.3339,0.133,-2.505,0.012245139338495097,0.5515625658678298,0.9296008300257927,False,0.7161253911858195
AA[T.R],-1.7943,0.218,-8.235,1.7955763655116196e-16,0.10850055400259043,0.25487042505711616,False,0.16624378227420028
AA[T.S],-0.2468,0.116,-2.123,0.033753851857610935,0.62188505646502,0.9811793622428061,False,0.7812969372939381
AA[T.T],-0.4952,0.123,-4.031,5.5540043690146045e-05,0.4790261931887511,0.775691802046476,False,0.6094490053054554
AA[T.V],-0.9531,0.128,-7.468,8.142284394798049e-14,0.30029198329606105,0.4950977802809435,False,0.38554398265366363
AA[T.W],-1.2034,0.34,-3.537,0.000404699666032396,0.1541236618151314,0.5850839135917069,False,0.3001718905228985
AA[T.Y],0.0936,0.125,0.749,0.45385720542715835,0.8598476986592055,1.403543345212726,False,1.0981204098918698
region,0.3619,0.06,6.025,1.691096152001137e-09,1.2763443304894546,1.6160744021928934,False,1.4360553292469114
CD,-0.8796,0.104,-8.426,3.5768218125123667e-17,0.33823985668783174,0.5091564206075492,False,0.4149488580333117
CG,-0.7117,0.086,-8.287,1.1614063696402654e-16,0.4147829116815814,0.5810026273636018,False,0.4908091123487432
region:CD,-0.056,0.142,-0.394,0.6935810392349504,0.7153380863525599,1.249820573735984,False,0.9455391358903963
region:CG,-0.1043,0.118,-0.886,0.3756175272049119,0.7153380863525599,1.1354170177814866,False,0.9009549703830616
